Country name,Regional indicator,Region,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
Cyprus,Western Europe,Europe,6223,0.049,6319,6128,10576,0.802,73898,0.763,-0.015,0.844,2430,1377,0.765,0.801,0.464,0.178,0.061,2578
Estonia,Central and Eastern Europe,Europe,6189,0.038,6263,6115,10481,0.941,68800,0.909,-0.106,0.527,2430,1344,1079,0.640,0.641,0.119,0.263,2103
Panama,Latin America and Caribbean,South America,6180,0.073,6323,6036,10350,0.896,69652,0.872,-0.166,0.856,2430,1298,0.976,0.667,0.596,0.079,0.053,2509
Uzbekistan,Commonwealth of Independent States,Europe,6179,0.068,6312,6045,8836,0.918,65255,0.970,0.311,0.515,2430,0.769,1027,0.528,0.716,0.391,0.271,2477
Chile,Latin America and Caribbean,South America,6172,0.046,6262,6081,10071,0.882,70000,0.742,-0.044,0.830,2430,1200,0.946,0.678,0.438,0.159,0.070,2682
Poland,Central and Eastern Europe,Europe,6166,0.040,6245,6087,10382,0.898,69702,0.841,-0.165,0.735,2430,1309,0.982,0.668,0.558,0.080,0.130,2438
Kazakhstan,Commonwealth of Independent States,Europe,6152,0.047,6243,6060,10155,0.952,65200,0.853,-0.069,0.733,2430,1230,1103,0.527,0.573,0.143,0.132,2446
Romania,Central and Eastern Europe,Europe,6140,0.057,6253,6027,10284,0.832,67355,0.845,-0.219,0.938,2430,1275,0.832,0.595,0.564,0.045,0.001,2830
Kuwait,Middle East and North Africa,Africa,6106,0.066,6235,5977,10817,0.843,66900,0.867,-0.104,0.736,2430,1461,0.857,0.580,0.591,0.120,0.130,2368
Serbia,Central and Eastern Europe,Europe,6078,0.053,6181,5974,9787,0.873,68600,0.778,0.002,0.835,2430,1101,0.924,0.634,0.482,0.189,0.066,2682
